"","rank","name","platform","year","genre","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","platform_exclusive"
"2955",3002,"Tourist Trophy: The Real Riding Simulator","PS2","2006","Racing","Sony Computer Entertainment",0.28,0.22,0.11,0.07,0.68,"Exclusive"
"2956",3003,"Mass Effect","PC","2008","Role-Playing","Electronic Arts",0,0.59,0,0.09,0.68,"Non-exclusive"
"2957",3004,".hack//Mutation Part 2","PS2","2002","Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68,"Exclusive"
"2958",3005,"Country Dance","Wii","2011","Misc","Funbox Media",0.59,0.04,0,0.04,0.68,"Exclusive"
"2959",3006,"Turok","PS3","2008","Action","Touchstone",0.35,0.22,0.01,0.1,0.68,"Non-exclusive"
"2960",3007,"Midway Arcade Treasures 2","PS2","2004","Misc","Midway Games",0.33,0.26,0,0.09,0.68,"Non-exclusive"
"2961",3008,"100 Classic Books","DS","2008","Misc","Nintendo",0.13,0.52,0,0.02,0.67,"Exclusive"
"2962",3009,"Unreal Tournament III","PS3","2007","Shooter","Midway Games",0.33,0.24,0,0.11,0.67,"Non-exclusive"
"2963",3010,"Final Fantasy Crystal Chronicles: Ring of Fates","DS","2007","Role-Playing","Square Enix",0.22,0.01,0.42,0.02,0.67,"Exclusive"
"2964",3011,"Return to Castle Wolfenstein: Tides of War","XB","2003","Shooter","Activision",0.49,0.16,0,0.02,0.67,"Exclusive"
"2965",3012,"Need for Speed Rivals","XOne","2013","Racing","Electronic Arts",0.45,0.17,0,0.05,0.67,"Non-exclusive"
"2966",3013,"Lollipop Chainsaw","PS3","2012","Action","Warner Bros. Interactive Entertainment",0.26,0.21,0.11,0.09,0.67,"Non-exclusive"
"2967",3014,"The Darkness","PS3","2007","Shooter","Take-Two Interactive",0.2,0.34,0,0.13,0.67,"Non-exclusive"
"2968",3015,"Street Sk8er","PS","1998","Sports","Electronic Arts",0.37,0.25,0,0.04,0.67,"Exclusive"
"2969",3016,"Club Penguin: Elite Penguin Force - Herbert's Revenge","DS","2010","Adventure","Disney Interactive Studios",0.4,0.22,0,0.06,0.67,"Exclusive"
"2970",3017,"Contra: Legacy of War","PS","1996","Shooter","Konami Digital Entertainment",0.37,0.25,0,0.04,0.67,"Exclusive"
"2971",3018,"Blazing Angels: Squadrons of WWII","PS3","2006","Simulation","Ubisoft",0.35,0.22,0,0.1,0.67,"Non-exclusive"
"2972",3019,"Fight Night Round 2004","XB","2004","Fighting","Electronic Arts",0.46,0.18,0,0.03,0.67,"Exclusive"
"2973",3020,"Wolfenstein: The New Order","XOne","2014","Shooter","Bethesda Softworks",0.33,0.28,0,0.06,0.67,"Non-exclusive"
"2974",3021,"The Biggest Loser: Challenge","Wii","2010","Sports","THQ",0.49,0.13,0,0.05,0.67,"Exclusive"
"2975",3022,"Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS","DS","2006","Misc","Rocket Company",0,0,0.67,0,0.67,"Exclusive"
"2976",3023,"Spice World","PS","1998","Action","Sony Computer Entertainment",0.37,0.25,0,0.04,0.67,"Exclusive"
"2977",3024,"Star Wars: Republic Commando","XB","2005","Shooter","Activision",0.48,0.17,0,0.02,0.67,"Non-exclusive"
"2978",3025,"Armored Core 3","PS2","2002","Simulation","Metro 3D",0.22,0.17,0.23,0.06,0.67,"Exclusive"
"2979",3026,"Need For Speed: Undercover","Wii","2008","Racing","Electronic Arts",0.27,0.32,0,0.07,0.67,"Non-exclusive"
"2980",3027,"Taiko no Tatsujin Wii","Wii","2008","Misc","Namco Bandai Games",0,0,0.67,0,0.67,"Exclusive"
"2981",3028,"The Witcher 3: Wild Hunt","PC","2015","Role-Playing","Namco Bandai Games",0.2,0.42,0,0.05,0.67,"Non-exclusive"
"2982",3029,"Virtua Tennis: World Tour (US & Others sales)","PSP","2005","Sports","Sega",0.16,0.36,0,0.14,0.67,"Exclusive"
"2983",3030,"The LEGO Movie Videogame","PS4","2014","Action","Warner Bros. Interactive Entertainment",0.24,0.31,0.01,0.11,0.67,"Non-exclusive"
"2984",3031,"Ratatouille","PSP","2007","Action","THQ",0.22,0.28,0,0.16,0.67,"Non-exclusive"
"2985",3033,"Wild ARMs 2","PS","1999","Role-Playing","Sony Computer Entertainment",0.19,0.13,0.31,0.04,0.67,"Exclusive"
"2986",3034,"Summer Sports: Paradise Island (Others sales)","Wii","2008","Sports","Ubisoft",0,0.66,0,0.01,0.67,"Exclusive"
"2987",3035,"Castlevania: Lords of Shadow","X360","2010","Action","Konami Digital Entertainment",0.42,0.18,0.01,0.05,0.67,"Non-exclusive"
"2988",3036,"BioShock Infinite","PC","2013","Shooter","Take-Two Interactive",0.28,0.3,0,0.08,0.67,"Non-exclusive"
"2989",3037,"Minecraft: Story Mode","PS4","2015","Adventure","Mojang",0.23,0.33,0,0.11,0.67,"Non-exclusive"
"2990",3038,"TV Show King Party","Wii","2008","Puzzle","Ubisoft",0.18,0.41,0,0.08,0.67,"Exclusive"
"2991",3039,"Crafting Mama","DS","2010","Simulation","505 Games",0.4,0.21,0.01,0.05,0.67,"Exclusive"
"2992",3040,"007: Quantum of Solace","Wii","2008","Action","Activision",0.3,0.29,0.01,0.07,0.67,"Non-exclusive"
"2993",3041,"Rock Band 3","Wii","2010","Misc","MTV Games",0.56,0.06,0,0.05,0.67,"Non-exclusive"
"2994",3042,"Command & Conquer: Red Alert 3","PC","2008","Strategy","Electronic Arts",0.01,0.64,0,0.02,0.67,"Non-exclusive"
"2995",3043,"The Fairly Odd Parents: Breakin Da Rules","PS2","2003","Platform","THQ",0.33,0.25,0,0.09,0.67,"Non-exclusive"
"2996",3044,"WWE SmackDown vs. RAW 2007","PSP","2006","Fighting","THQ",0.33,0.2,0,0.14,0.67,"Non-exclusive"
"2997",3045,"Peppa Pig: Fun and Games","DS","2010","Misc","Ubisoft",0,0.58,0,0.09,0.67,"Non-exclusive"
"2998",3046,"Adventures of Tron","2600","1981","Action","Mattel Interactive",0.63,0.03,0,0.01,0.67,"Exclusive"
"2999",3047,"Phoenix Wright: Ace Attorney - Trials and Tribulations","DS","2007","Adventure","Capcom",0.33,0.05,0.25,0.04,0.67,"Exclusive"
"3000",3048,"NHL 13","X360","2012","Sports","Electronic Arts",0.51,0.11,0,0.05,0.67,"Non-exclusive"
"3001",3049,"Borderlands: The Pre-Sequel","PS3","2014","Shooter","Take-Two Interactive",0.25,0.26,0.05,0.11,0.67,"Non-exclusive"
"3002",3050,"The Sims 3: High-End Loft Stuff","PC","2010","Simulation","Electronic Arts",0.01,0.53,0,0.12,0.67,"Exclusive"
"3003",3052,"Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou","DS","2006","Misc","IE Institute",0,0,0.66,0,0.66,"Exclusive"
"3004",3053,"Pro Pinball: Big Race USA","PS","1999","Simulation","Take-Two Interactive",0.37,0.25,0,0.04,0.66,"Exclusive"
"3005",3054,"NFL Street","XB","2004","Sports","Electronic Arts",0.49,0.15,0,0.02,0.66,"Non-exclusive"
"3006",3055,"Shaun White Snowboarding","PS3","2008","Sports","Ubisoft",0.31,0.24,0.01,0.1,0.66,"Non-exclusive"
"3007",3056,"The LEGO Movie Videogame","WiiU","2014","Action","Warner Bros. Interactive Entertainment",0.35,0.23,0.03,0.06,0.66,"Non-exclusive"
"3008",3057,"Tony Hawk's Proving Ground","PS2","2007","Sports","Activision",0.55,0.02,0,0.09,0.66,"Non-exclusive"
"3009",3058,"MLB 2004","PS2","2003","Sports","Sony Computer Entertainment",0.32,0.25,0,0.08,0.66,"Exclusive"
"3010",3059,"Naruto Shippuden: Ultimate Ninja 4","PS2","2007","Fighting","Atari",0.26,0.01,0.13,0.26,0.66,"Exclusive"
"3011",3060,"Tiger Woods PGA Tour 2000","PS","1998","Sports","Electronic Arts",0.37,0.25,0,0.04,0.66,"Exclusive"
"3012",3061,"Darkstone","PS","2001","Role-Playing","Electronic Arts",0.37,0.25,0,0.04,0.66,"Exclusive"
"3013",3062,"NCAA March Madness 2003","PS2","2002","Sports","Electronic Arts",0.32,0.25,0,0.08,0.66,"Exclusive"
"3014",3063,"Finding Nemo","XB","2003","Action","THQ",0.48,0.16,0,0.02,0.66,"Non-exclusive"
"3015",3064,"Thrillville","PS2","2006","Strategy","Atari",0.55,0.02,0,0.09,0.66,"Non-exclusive"
"3016",3065,"NHL 10","X360","2009","Sports","Electronic Arts",0.51,0.1,0,0.06,0.66,"Non-exclusive"
"3017",3066,"Jikkyou World Soccer 2000 Final Edition","PS2","2000","Sports","Konami Digital Entertainment",0,0,0.66,0,0.66,"Exclusive"
"3018",3067,"Madagascar","GC","2005","Platform","Activision",0.52,0.13,0,0.02,0.66,"Non-exclusive"
"3019",3068,"Puzzler Brain Games","Wii","2012","Puzzle","Namco Bandai Games",0,0,0.66,0,0.66,"Exclusive"
"3020",3069,"Dragon Quest Monsters: Caravan Heart","GBA","2003","Role-Playing","Enix Corporation",0,0,0.64,0.02,0.66,"Exclusive"
"3021",3070,"Strawberry Shortcake: Summertime Adventure","GBA","2004","Adventure","Majesco Entertainment",0.47,0.18,0,0.01,0.66,"Exclusive"
"3022",3071,"Rayman Legends","PS3","2013","Platform","Ubisoft",0.14,0.38,0,0.14,0.66,"Non-exclusive"
"3023",3072,"Rocksmith 2014","PC","2013","Misc","Ubisoft",0.35,0.24,0,0.07,0.66,"Non-exclusive"
"3024",3073,"Street Fighter Anniversary Collection","PS2","2004","Fighting","Capcom",0.32,0.25,0,0.08,0.66,"Non-exclusive"
"3025",3074,"Legend of Legaia","PS","1998","Role-Playing","Sony Computer Entertainment",0.37,0.25,0,0.04,0.66,"Exclusive"
"3026",3075,"Napoleon: Total War","PC","2010","Strategy","Sega",0.02,0.52,0,0.12,0.66,"Exclusive"
"3027",3076,"Fist of the North Star: Ken's Rage","PS3","2010","Action","Ubisoft Annecy",0.06,0.03,0.55,0.02,0.66,"Non-exclusive"
"3028",3077,"Wario: Master of Disguise","DS","2007","Platform","Nintendo",0.28,0.02,0.33,0.03,0.66,"Exclusive"
"3029",3078,"Toy Story 3: The Video Game","PSP","2010","Action","Disney Interactive Studios",0.27,0.25,0,0.14,0.66,"Non-exclusive"
"3030",3079,"The Sims: Bustin' Out","GC","2003","Simulation","Electronic Arts",0.43,0.2,0,0.03,0.66,"Non-exclusive"
"3031",3080,"Tiger Woods PGA Tour 09","PS3","2008","Sports","Electronic Arts",0.34,0.22,0,0.1,0.66,"Non-exclusive"
"3032",3081,"Keystone Kapers","2600","1982","Action","Activision",0.62,0.04,0,0.01,0.66,"Exclusive"
"3033",3082,"LEGO Marvel Super Heroes","PSV","2013","Action","Warner Bros. Interactive Entertainment",0.15,0.35,0,0.16,0.66,"Non-exclusive"
"3034",3083,"New Play Control! Pikmin","Wii","2008","Strategy","Nintendo",0.29,0.14,0.19,0.04,0.66,"Exclusive"
"3035",3084,"Shrek: Hassle at the Castle","GBA","2002","Action","TDK Mediactive",0.47,0.17,0,0.01,0.66,"Exclusive"
"3036",3085,"Suikoden IV","PS2","2004","Role-Playing","Konami Digital Entertainment",0.17,0.13,0.3,0.05,0.66,"Exclusive"
"3037",3086,"Gods Eater Burst","PSP","2010","Action","Namco Bandai Games",0.03,0,0.62,0,0.66,"Exclusive"
"3038",3087,"Disney's Kim Possible 2: Drakken's Demise","GBA","2004","Platform","Disney Interactive Studios",0.47,0.17,0,0.01,0.66,"Exclusive"
"3039",3088,"Um Jammer Lammy","PS","1998","Misc","Sony Computer Entertainment",0.12,0.08,0.41,0.04,0.66,"Exclusive"
"3040",3089,"Brothers In Arms: Road to Hill 30","XB","2005","Shooter","Ubisoft",0.49,0.14,0,0.02,0.66,"Non-exclusive"
"3041",3090,"Madden NFL 10","PSP","2009","Sports","Electronic Arts",0.5,0.08,0,0.08,0.66,"Non-exclusive"
"3042",3091,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)","PSP","2007","Action","Activision",0.23,0.27,0,0.16,0.66,"Non-exclusive"
"3043",3092,"Taiko no Tatsujin DS: Touch de Dokodon!","DS","2007","Misc","Namco Bandai Games",0,0,0.66,0,0.66,"Exclusive"
"3044",3093,"F1 2015","PS4","2015","Racing","Codemasters",0.09,0.44,0.03,0.09,0.66,"Non-exclusive"
"3045",3094,"Scene It? Box Office Smash","X360","2008","Misc","Microsoft Game Studios",0.33,0.25,0,0.07,0.66,"Exclusive"
"3046",3095,"Animaniacs Ten Pin Alley","PS","1998","Sports","ASC Games",0.36,0.25,0,0.04,0.66,"Exclusive"
"3047",3096,"Disney Infinity 2.0: Marvel Super Heroes","WiiU","2014","Action","Disney Interactive Studios",0.38,0.22,0,0.06,0.65,"Non-exclusive"
"3048",3097,"NHL 13","PS3","2012","Sports","Electronic Arts",0.33,0.22,0,0.1,0.65,"Non-exclusive"
"3049",3098,"Kung Fu Panda","PS2","2008","Action","Activision",0.24,0,0,0.41,0.65,"Non-exclusive"
"3050",3099,"Tom Clancy's EndWar","PS3","2008","Strategy","Ubisoft",0.32,0.22,0.01,0.1,0.65,"Non-exclusive"
"3051",3100,"The Evil Within","XOne","2014","Action","Bethesda Softworks",0.35,0.25,0,0.05,0.65,"Non-exclusive"
"3052",3101,"Tiger Woods PGA Tour 09","X360","2008","Sports","Electronic Arts",0.35,0.23,0,0.07,0.65,"Non-exclusive"
"3053",3102,"Radiata Stories","PS2","2005","Role-Playing","Square Enix",0.18,0.14,0.29,0.05,0.65,"Exclusive"
"3054",3103,"F-Zero GX","GC","2003","Racing","Nintendo",0.41,0.11,0.12,0.02,0.65,"Exclusive"
"3055",3104,"Disney's Chicken Little","PS2","2005","Platform","Disney Interactive Studios",0.32,0.25,0,0.08,0.65,"Non-exclusive"
"3056",3105,"Wall-E","PSP","2008","Platform","THQ",0.29,0.22,0,0.14,0.65,"Non-exclusive"
"3057",3106,"Yoshi Topsy-Turvy","GBA","2004","Platform","Nintendo",0.25,0.09,0.3,0.01,0.65,"Exclusive"
"3058",3107,"Up","DS","2009","Action","THQ",0.31,0.28,0,0.07,0.65,"Non-exclusive"
"3059",3108,"Monster Jam: Maximum Destruction","PS2","2002","Racing","Ubisoft",0.32,0.25,0,0.08,0.65,"Non-exclusive"
"3060",3109,"Real Heroes: Firefighter","Wii","2009","Action","Rondomedia",0.56,0.04,0,0.05,0.65,"Exclusive"
"3061",3110,"Cartoon Network Block Party / Cartoon Network Speedway Double Pack","GBA","2005","Misc","THQ",0.47,0.17,0,0.01,0.65,"Exclusive"
"3062",3111,"World of Dragon Warrior - Torneko: The Last Hope","PS","1999","Role-Playing","Enix Corporation",0.02,0.01,0.58,0.04,0.65,"Exclusive"
"3063",3112,"Drawn to Life: The Next Chapter","DS","2009","Puzzle","THQ",0.45,0.14,0,0.06,0.65,"Non-exclusive"
"3064",3113,"MLB 14: The Show","PS4","2014","Sports","Sony Computer Entertainment America",0.58,0,0,0.07,0.65,"Non-exclusive"
"3065",3114,"Tiger Woods PGA Tour 10","X360","2009","Sports","Electronic Arts",0.39,0.2,0,0.06,0.65,"Non-exclusive"
"3066",3115,"Advance Wars 2: Black Hole Rising","GBA","2003","Strategy","Nintendo",0.47,0.17,0,0.01,0.65,"Exclusive"
"3067",3116,"Fire Emblem: Shadow Dragon","DS","2008","Role-Playing","Nintendo",0.31,0.03,0.27,0.03,0.65,"Exclusive"
"3068",3117,"Centipede","PS","1998","Shooter","Atari",0.36,0.25,0,0.04,0.65,"Non-exclusive"
"3069",3118,"Drakengard","PS2","2003","Role-Playing","Square Enix",0.19,0.15,0.26,0.05,0.65,"Exclusive"
"3070",3119,"SingStar Pop Hits","PS2","2007","Misc","Sony Computer Entertainment",0,0.5,0,0.15,0.65,"Exclusive"
"3071",3120,"Kung-Fu Master","2600","1987","Action","Activision",0.6,0.04,0,0.01,0.65,"Exclusive"
"3072",3121,"Champions: Return to Arms","PS2","2005","Role-Playing","Sony Online Entertainment",0.32,0.25,0,0.08,0.65,"Exclusive"
"3073",3122,"Harry Potter and the Goblet of Fire","PS2","2005","Action","Electronic Arts",0.54,0.02,0,0.09,0.65,"Non-exclusive"
"3074",3123,"SingStar R&B","PS2","2007","Misc","Sony Computer Entertainment",0,0.05,0,0.6,0.65,"Exclusive"
"3075",3124,"Mary-Kate and Ashley: Magical Mystery Mall","PS","2000","Adventure","Acclaim Entertainment",0.36,0.24,0,0.04,0.65,"Exclusive"
"3076",3125,"MX vs. ATV Untamed","PSP","2007","Racing","THQ",0.35,0.18,0,0.12,0.65,"Non-exclusive"
"3077",3126,"Disney Sing It: Party Hits","Wii","2010","Misc","Disney Interactive Studios",0.5,0.11,0,0.05,0.65,"Non-exclusive"
"3078",3127,"Dead or Alive 5","PS3","2012","Fighting","Tecmo Koei",0.23,0.15,0.2,0.07,0.65,"Non-exclusive"
"3079",3128,"Star Ocean: First Departure","PSP","2007","Role-Playing","Square Enix",0.2,0.14,0.22,0.09,0.65,"Exclusive"
"3080",3129,"Super Robot Taisen Impact","PS2","2002","Strategy","Banpresto",0,0,0.65,0,0.65,"Exclusive"
"3081",3130,"Dragon Age: Inquisition","PS3","2014","Role-Playing","Electronic Arts",0.26,0.23,0.05,0.1,0.65,"Non-exclusive"
"3082",3131,"The Black Eyed Peas Experience","Wii","2011","Misc","Ubisoft",0.39,0.2,0,0.06,0.65,"Non-exclusive"
"3083",3132,"Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken","DS","2008","Misc","Namco Bandai Games",0,0,0.65,0,0.65,"Exclusive"
"3084",3133,"Sengoku Basara: Samurai Heroes","PS3","2010","Action","Capcom",0.17,0.04,0.4,0.03,0.65,"Non-exclusive"
"3085",3134,"Crysis 3","PC","2013","Shooter","Electronic Arts",0.17,0.39,0,0.09,0.64,"Non-exclusive"
"3086",3135,"Paws & Claws: Pet Vet","DS","2007","Simulation","THQ",0.6,0,0,0.05,0.64,"Non-exclusive"
"3087",3136,"Harry Potter and the Half-Blood Prince","PS2","2009","Action","Electronic Arts",0.13,0.07,0,0.44,0.64,"Non-exclusive"
"3088",3137,"Crash Bandicoot Purple: Ripto's Rampage","GBA","2004","Platform","Vivendi Games",0.46,0.17,0,0.01,0.64,"Exclusive"
"3089",3138,"Diablo III","XOne","2014","Role-Playing","Activision",0.35,0.24,0,0.05,0.64,"Non-exclusive"
"3090",3139,"Spyro: A Hero's Tail","PS2","2004","Platform","Vivendi Games",0.32,0.25,0,0.08,0.64,"Non-exclusive"
"3091",3140,"Crash of the Titans","PSP","2007","Action","Vivendi Games",0.25,0.25,0,0.15,0.64,"Non-exclusive"
"3092",3141,"Aliens: Colonial Marines","PS3","2013","Shooter","Sega",0.2,0.31,0,0.13,0.64,"Non-exclusive"
"3093",3142,"Crash: Twinsanity","PS2","2004","Platform","Vivendi Games",0.32,0.25,0,0.08,0.64,"Non-exclusive"
"3094",3144,"Max Payne 2: The Fall of Max Payne","XB","2003","Shooter","Take-Two Interactive",0.47,0.15,0,0.02,0.64,"Non-exclusive"
"3095",3145,"Dragon Ball: Raging Blast 2","X360","2010","Fighting","Namco Bandai Games",0.49,0.09,0.01,0.05,0.64,"Non-exclusive"
"3096",3146,"GoldenEye: Rogue Agent","PS2","2004","Shooter","Electronic Arts",0.54,0.02,0,0.09,0.64,"Non-exclusive"
"3097",3147,"NBA 2K17","XOne","2016","Sports","Take-Two Interactive",0.54,0.04,0,0.07,0.64,"Non-exclusive"
"3098",3148,"Lost Planet: Extreme Condition","PS3","2008","Shooter","Capcom",0.31,0.17,0.07,0.09,0.64,"Non-exclusive"
"3099",3149,"XCOM: Enemy Unknown","X360","2012","Strategy","Take-Two Interactive",0.36,0.23,0,0.05,0.64,"Non-exclusive"
"3100",3150,"Rayman 3D","3DS","2011","Platform","Ubisoft",0.23,0.35,0,0.06,0.64,"Exclusive"
"3101",3151,"LEGO Marvel's Avengers","PS4","2016","Action","Warner Bros. Interactive Entertainment",0.25,0.29,0,0.1,0.64,"Non-exclusive"
"3102",3152,"James Bond 007: Everything or Nothing","XB","2004","Shooter","Electronic Arts",0.43,0.19,0,0.02,0.64,"Non-exclusive"
"3103",3153,"X2: Wolverine's Revenge","PS2","2003","Platform","Activision",0.31,0.24,0,0.08,0.64,"Non-exclusive"
"3104",3154,"Stuntman: Ignition","X360","2007","Racing","THQ",0.25,0.32,0,0.07,0.64,"Non-exclusive"
"3105",3155,"NBA Live 06","XB","2005","Sports","Electronic Arts",0.57,0.04,0,0.03,0.64,"Non-exclusive"
"3106",3156,"Dragon Age II","PC","2011","Action","Electronic Arts",0.23,0.33,0,0.09,0.64,"Non-exclusive"
"3107",3157,"LEGO Star Wars II: The Original Trilogy","X360","2006","Action","LucasArts",0.55,0.04,0,0.05,0.64,"Non-exclusive"
"3108",3158,"Tom Clancy's Rainbow Six","N64","1999","Shooter","Red Storm Entertainment",0.48,0.15,0,0.01,0.64,"Non-exclusive"
"3109",3159,"Castlevania","N64","1999","Platform","Konami Digital Entertainment",0.44,0.1,0.04,0.05,0.64,"Non-exclusive"
"3110",3160,"Rayman 2: The Great Escape","N64","1999","Platform","Ubisoft",0.4,0.22,0,0.02,0.64,"Non-exclusive"
"3111",3161,"Nicktoons Collection: Game Boy Advance Video Volume 1","GBA","2004","Misc","N/A",0.46,0.17,0,0.01,0.64,"Exclusive"
"3112",3162,"The Lord of the Rings: Conquest","X360","2009","Action","Electronic Arts",0.37,0.21,0,0.06,0.64,"Non-exclusive"
"3113",3163,"TimeSplitters 2","XB","2002","Shooter","Eidos Interactive",0.29,0.33,0,0.01,0.64,"Non-exclusive"
"3114",3164,"Onimusha: Dawn of Dreams","PS2","2006","Action","Capcom",0.15,0.12,0.34,0.04,0.64,"Exclusive"
"3115",3165,"NieR","PS3","2010","Role-Playing","Square Enix",0.17,0.2,0.2,0.07,0.64,"Non-exclusive"
"3116",3166,"The Princess and the Frog","DS","2009","Platform","Disney Interactive Studios",0.41,0.17,0,0.06,0.64,"Non-exclusive"
"3117",3167,"Sega Rally Revo","PS3","2007","Racing","Sega",0.07,0.43,0,0.14,0.64,"Non-exclusive"
"3118",3168,"SpongeBob SquarePants: Game Boy Advance Video Volume 1","GBA","2004","Misc","N/A",0.46,0.17,0,0.01,0.64,"Exclusive"
"3119",3169,"Gravity Rush","PSV","2012","Action","Sony Computer Entertainment",0.26,0.2,0.09,0.1,0.64,"Exclusive"
"3120",3170,"Konami Collector's Series: Arcade Advanced","GBA","2002","Misc","Konami Digital Entertainment",0.46,0.17,0,0.01,0.64,"Exclusive"
"3121",3171,"White Knight Chronicles II","PS3","2010","Role-Playing","Sony Computer Entertainment",0.23,0.09,0.27,0.05,0.64,"Exclusive"
"3122",3172,"Wolfenstein","PS3","2009","Shooter","Activision",0.25,0.28,0,0.11,0.64,"Non-exclusive"
"3123",3173,"Jampack Volume 13 (RP-T)","PS2","2005","Misc","Sony Computer Entertainment",0.31,0.24,0,0.08,0.64,"Exclusive"
"3124",3174,"LEGO Dimensions","PS4","2015","Action","Warner Bros. Interactive Entertainment",0.22,0.32,0,0.1,0.64,"Non-exclusive"
"3125",3175,"Start the Party!","PS3","2010","Misc","Sony Computer Entertainment",0.07,0.42,0,0.14,0.64,"Exclusive"
"3126",3176,"Cruis'n World","N64","1998","Racing","Nintendo",0.59,0.04,0,0.01,0.64,"Exclusive"
"3127",3177,"Madden NFL 2001","N64","2000","Sports","Electronic Arts",0.6,0.03,0,0.01,0.64,"Non-exclusive"
"3128",3178,"NBA Live 08","PS3","2007","Sports","Electronic Arts",0.56,0.02,0.01,0.05,0.64,"Non-exclusive"
"3129",3179,"The Walking Dead: Survival Instinct","X360","2013","Shooter","Activision",0.46,0.12,0,0.05,0.64,"Non-exclusive"
"3130",3180,"Donkey Kong Barrel Blast","Wii","2007","Racing","Nintendo",0.2,0.26,0.11,0.06,0.64,"Exclusive"
"3131",3181,"Okami","Wii","2008","Action","Capcom",0.45,0.1,0.04,0.05,0.64,"Non-exclusive"
"3132",3182,"Lemony Snicket's A Series of Unfortunate Events","PS2","2004","Platform","Activision",0.31,0.24,0,0.08,0.64,"Non-exclusive"
"3133",3183,"Middle-Earth: Shadow of Mordor","PS3","2014","Action","Warner Bros. Interactive Entertainment",0.2,0.33,0.01,0.1,0.64,"Non-exclusive"
"3134",3184,"Family Feud: 2010 Edition","Wii","2009","Misc","Ubisoft",0.59,0,0,0.04,0.64,"Non-exclusive"
"3135",3185,"Red Steel 2","Wii","2010","Shooter","Ubisoft",0.36,0.21,0.01,0.06,0.63,"Exclusive"
"3136",3186,"X-Men Legends II: Rise of Apocalypse","PS2","2005","Role-Playing","Activision",0.53,0.02,0,0.09,0.63,"Non-exclusive"
"3137",3187,"Nightmare Creatures","PS","1997","Action","Sony Computer Entertainment",0.35,0.24,0,0.04,0.63,"Non-exclusive"
"3138",3188,"SingStar Queen","PS2","2009","Misc","Sony Computer Entertainment",0.08,0.12,0,0.44,0.63,"Non-exclusive"
"3139",3189,"Just Dance 2015","X360","2014","Misc","Ubisoft",0.41,0.16,0,0.06,0.63,"Non-exclusive"
"3140",3190,"F1 2013","PS3","2013","Racing","Codemasters",0.01,0.45,0.03,0.15,0.63,"Non-exclusive"
"3141",3191,"Juiced 2: Hot Import Nights","X360","2007","Racing","THQ",0.22,0.34,0,0.07,0.63,"Non-exclusive"
"3142",3192,"Tony Hawk's Pro Skater 2x","XB","2001","Sports","Activision",0.41,0.19,0,0.03,0.63,"Exclusive"
"3143",3193,"Sim Theme Park","PS","1999","Strategy","Electronic Arts",0.35,0.24,0,0.04,0.63,"Non-exclusive"
"3144",3194,"FIFA Soccer 2003","XB","2002","Sports","Electronic Arts",0.2,0.4,0,0.04,0.63,"Non-exclusive"
"3145",3195,"Ghostbusters: The Video Game","X360","2009","Action","Atari",0.43,0.14,0,0.06,0.63,"Non-exclusive"
"3146",3197,"NASCAR 06: Total Team Control","PS2","2005","Racing","Electronic Arts",0.53,0.02,0,0.09,0.63,"Non-exclusive"
"3147",3198,"Tony Hawk's Project 8","PS3","2006","Sports","Activision",0.3,0.23,0.01,0.1,0.63,"Non-exclusive"
"3148",3199,"Dogz","GBA","2004","Simulation","Ubisoft",0.45,0.17,0,0.01,0.63,"Non-exclusive"
"3149",3200,"Disney Universe","PS3","2011","Action","Disney Interactive Studios",0.3,0.23,0,0.09,0.63,"Non-exclusive"
"3150",3201,"Guitar Hero: Metallica","PS3","2009","Misc","Activision",0.28,0.24,0,0.1,0.63,"Non-exclusive"
"3151",3202,"Iron Man","PSP","2008","Action","Sega",0.46,0.09,0,0.09,0.63,"Non-exclusive"
"3152",3203,"Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb","3DS","2012","Misc","Namco Bandai Games",0,0,0.63,0,0.63,"Exclusive"
"3153",3204,"Harry Potter and the Half-Blood Prince","DS","2009","Action","Electronic Arts",0.21,0.35,0,0.07,0.63,"Non-exclusive"
"3154",3205,"A Bug's Life","N64","1998","Platform","Activision",0.49,0.13,0,0.01,0.63,"Non-exclusive"
"3155",3206,"Super Castlevania IV","SNES","1991","Platform","Konami Digital Entertainment",0.32,0.05,0.25,0.01,0.63,"Exclusive"
"3156",3207,"DJ Hero 2","Wii","2010","Misc","Activision",0.49,0.09,0,0.04,0.63,"Non-exclusive"
"3157",3208,"Angry Birds Trilogy","3DS","2012","Action","Activision",0.38,0.2,0,0.05,0.63,"Non-exclusive"
"3158",3209,"Condemned 2: Bloodshot","X360","2008","Action","Sega",0.38,0.19,0,0.06,0.63,"Non-exclusive"
"3159",3210,"Cabela's Big Game Hunter (2008)","Wii","2007","Sports","Activision",0.58,0,0,0.05,0.63,"Non-exclusive"
